no,bandung,banjarbaru,bengkulu,denpasar,jakarta,jayapura,maluku,semarang,surabaya,yogyakarta
1,taman,wisata,pantai,pantai,museum,pantai,pantai,wisata,taman,taman
2,kota,rekreasi,wisata,wisata,taman,bukit,pulau,taman,kota,kota
3,alam,taman,kota,alam,pulau,alam,alam,kota,museum,museum
4,wisata,alam,alam,kota,pusat,kota,benteng,pantai,wisata,wisata
5,air,air,taman,indah,wisata,air,air,alam,patung,patung
6,curug,danau,indah,wisatawan,pusat,pasir,wisata,hutan,jalan,jalan
7,museum,hutan,danau,pura,budaya,wisata,terjun,kampung,rekreasi,rekreasi
8,gunung,bukit,pulau,pulau,seni,kampung,kota,gunung,air,air
9,kawasan,gunung,air,desa,sejarah,indah,indah,kawasan,sejarah,sejarah
10,rekreasi,pinus,pasar,pasir,kawasan,pandang,desa,rekreasi,monumen,monumen
11,batu,terjun,jalan,selatan,pasar,telaga,laut,air,masjid,masjid
12,gedung,kebun,wisatawan,taman,kota,teluk,terjun,sejarah,laut,laut
13,indah,wisatawan,wahana,laut,rekreasi,distrik,danau,desa,jembatan,jembatan
14,jalan,kalimantan,pusat,budaya,nasional,laut,sejarah,jalan,waterpark,waterpark
15,hutan,main,luas,warga,rumah,gunung,gunung,masjid,pantai,pantai
16,tinggi,hijau,masyarakat,ombak,jalan,tanjung,budaya,batik,budaya,budaya
17,budaya,suasana,rekreasi,rekreasi,alam,destinasi,pasir,museum,kebun,kebun
18,kolam,raya,sejarah,air,masjid,adat,teluk,pandang,kapal,kapal
19,luas,pulau,laut,batu,luas,danau,destinasi,rawa,fasilitas,fasilitas
20,seni,kota,desa,selancar,monumen,main,tebing,budaya,keluarga,keluarga